,ET_W,ET_S,secTw,secTs,ETwTs,ET,secT,routing,EM,dist,k,l
0,120.48192771084338,5.0,19390.816277156817,73.19277108433735,602.4096385542169,125.48192771084338,20584.345817002948,Return,1,poi,1,100.0
1,240.96385542168676,5.0,58063.57961968356,73.19277108433735,1204.8192771084339,245.96385542168676,60546.41094498476,Largest,1,poi,1,100.0
2,240.9638554216868,5.0,19354.52653989452,73.19277108433735,3012.048192771085,245.9638554216868,25451.815696521026,Sshaped,1,poi,1,100.0
3,120.48192771084338,5.0,19390.816277156817,73.19277108433735,602.4096385542169,125.48192771084338,20584.345817002948,Return,1,geo,1,100.0
4,240.96385542168676,5.0,58063.57961968356,73.19277108433735,1204.8192771084339,245.96385542168676,60546.41094498476,Largest,1,geo,1,100.0
5,240.9638554216868,5.0,19354.52653989452,73.19277108433735,3012.048192771085,245.9638554216868,25451.815696521026,Sshaped,1,geo,1,100.0
6,120.48192771084338,5.0,19390.816277156817,73.19277108433735,602.4096385542169,125.48192771084338,20584.345817002948,Return,1,det,1,100.0
7,240.96385542168676,5.0,58063.57961968356,73.19277108433735,1204.8192771084339,245.96385542168676,60546.41094498476,Largest,1,det,1,100.0
8,240.9638554216868,5.0,19354.52653989452,73.19277108433735,3012.048192771085,245.9638554216868,25451.815696521026,Sshaped,1,det,1,100.0
9,120.48192771084338,5.0,19390.816277156817,73.19277108433735,602.4096385542169,125.48192771084338,20584.345817002948,Return,1,negbin_5,1,100.0
10,240.96385542168676,5.0,58063.57961968356,73.19277108433735,1204.8192771084339,245.96385542168676,60546.41094498476,Largest,1,negbin_5,1,100.0
11,240.9638554216868,5.0,19354.52653989452,73.19277108433735,3012.048192771085,245.9638554216868,25451.815696521026,Sshaped,1,negbin_5,1,100.0
12,120.48192771084338,5.0,19390.816277156817,73.19277108433735,602.4096385542169,125.48192771084338,20584.345817002948,Return,1,negbin_10,1,100.0
13,240.96385542168676,5.0,58063.57961968356,73.19277108433735,1204.8192771084339,245.96385542168676,60546.41094498476,Largest,1,negbin_10,1,100.0
14,240.9638554216868,5.0,19354.52653989452,73.19277108433735,3012.048192771085,245.9638554216868,25451.815696521026,Sshaped,1,negbin_10,1,100.0
15,120.48192771084338,5.0,19390.816277156817,73.19277108433735,602.4096385542169,125.48192771084338,20584.345817002948,Return,1,negbin_15,1,100.0
16,240.96385542168676,5.0,58063.57961968356,73.19277108433735,1204.8192771084339,245.96385542168676,60546.41094498476,Largest,1,negbin_15,1,100.0
